dish_id,total_calories,total_mass,ingredients,split,processed_ingredients
dish_1561662054,419.438782,292.0,ingr_0000000312;ingr_0000000026;ingr_0000000029;ingr_0000000122;ingr_0000000508;ingr_0000000513;ingr_0000000520;ingr_0000000525;ingr_0000000161;ingr_0000000094;ingr_0000000189;ingr_0000000043;ingr_0000000462;ingr_0000000054;ingr_0000000328;ingr_0000000291;ingr_0000000524,train,pepper;white rice;mixed greens;garlic;soy sauce;millet;lemon juice;bok choy;olive oil;onions;vinegar;green beans;pork;apple;sugar;parsley
dish_1560455030,20.59,103.0,ingr_0000000471;ingr_0000000031;ingr_0000000347,train,cherry tomatoes;cucumbers;baby carrots
dish_1565640549,45.482903,139.0,ingr_0000000032;ingr_0000000523;ingr_0000000161;ingr_0000000526;ingr_0000000520;ingr_0000000094;ingr_0000000031;ingr_0000000291;ingr_0000000515;ingr_0000000448;ingr_0000000014;ingr_0000000367;ingr_0000000349;ingr_0000000471,train,tomatoes;cilantro;olive oil;mustard greens;lemon juice;onions;cucumbers;arugula;jalapenos;asparagus;lime;mangos;cherry tomatoes
dish_1563207364,309.269989,271.0,ingr_0000000008;ingr_0000000192;ingr_0000000440;ingr_0000000128;ingr_0000000161;ingr_0000000437,train,scrambled eggs;yam;grapes;egg whites;olive oil;sweet potato
dish_1561575474,120.058434,183.0,ingr_0000000291;ingr_0000000335;ingr_0000000433;ingr_0000000007;ingr_0000000161,train,eggplant;roasted potatoes;cauliflower;olive oil
dish_1563216717,246.007996,332.0,ingr_0000000122;ingr_0000000021;ingr_0000000471;ingr_0000000244;ingr_0000000036;ingr_0000000148;ingr_0000000514;ingr_0000000161;ingr_0000000518;ingr_0000000112;ingr_0000000291;ingr_0000000027,train,garlic;squash;cherry tomatoes;chicken breast;spinach (raw);parmesan cheese;wheat berry;olive oil;thyme;honeydew melons;broccoli
dish_1565972591,195.199997,122.0,ingr_0000000510,train,chicken apple sausage
dish_1568649312,44.459999,78.0,ingr_0000000013,train,berries
dish_1562183096,41.18898,95.0,ingr_0000000312;ingr_0000000517;ingr_0000000201;ingr_0000000046;ingr_0000000189;ingr_0000000515;ingr_0000000126;ingr_0000000161;ingr_0000000124;ingr_0000000291,train,pepper;chard;blueberries;mushroom;vinegar;arugula;mustard;olive oil;walnuts
dish_1563476551,1116.391113,750.0,ingr_0000000133;ingr_0000000332;ingr_0000000046;ingr_0000000540;ingr_0000000021;ingr_0000000257;ingr_0000000520;ingr_0000000434;ingr_0000000367;ingr_0000000122;ingr_0000000011;ingr_0000000092;ingr_0000000341;ingr_0000000023;ingr_0000000448;ingr_0000000036;ingr_0000000025;ingr_0000000074;ingr_0000000518;ingr_0000000161;ingr_0000000027;ingr_0000000094;ingr_0000000485;ingr_0000000291;ingr_0000000523;ingr_0000000203,train,shallots;salmon;mushroom;ginger;squash;brownies;lemon juice;sour cream;lime;garlic;cheese pizza;wine;cream;brown rice;jalapenos;spinach (raw);beef;pasta;thyme;olive oil;broccoli;onions;zucchini;cilantro;chili
dish_1559844951,274.335999,122.0,ingr_0000000077;ingr_0000000005,train,almonds;potatoes
dish_1562963704,663.755798,479.0,ingr_0000000073;ingr_0000000525;ingr_0000000189;ingr_0000000291;ingr_0000000433;ingr_0000000029;ingr_0000000508;ingr_0000000006;ingr_0000000122;ingr_0000000328;ingr_0000000312;ingr_0000000026;ingr_0000000462;ingr_0000000180;ingr_0000000152;ingr_0000000380;ingr_0000000161;ingr_0000000045;ingr_0000000535,train,radishes;bok choy;vinegar;roasted potatoes;mixed greens;soy sauce;caesar salad;garlic;sugar;pepper;white rice;pork;rice noodles;cabbage;pizza;olive oil;carrot;green onions
dish_1566417398,56.892494,46.0,ingr_0000000126;ingr_0000000189;ingr_0000000029;ingr_0000000528;ingr_0000000161;ingr_0000000291;ingr_0000000471,train,mustard;vinegar;mixed greens;celery root;olive oil;cherry tomatoes
